Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity,Product Subtotal
230915DPWHD4T3,Completed,787206063393,Standard Local-J&T Express,pickup,2023-09-23 18:01,2023-09-16 13:26,2023-09-15 18:01,2023-09-15 18:01,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
230915DR7CAB54,Completed,SPEPH031470467969,Standard Local-SPX Express,pickup,2023-09-27 18:34,2023-09-17 13:16,2023-09-15 18:24,2023-09-15 18:34,TWEED COORDS/DRESS CHECKOUT (16-25 sets),,5,5,1,5
230915E1CQBFDJ,Completed,SPEPH030502074869,Standard Local-SPX Express,pickup,2023-09-23 21:18,2023-09-16 13:14,2023-09-15 21:08,2023-09-15 21:18,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
230915E4X8UGTY,Completed,SPEPH039675685899,Standard Local-SPX Express,pickup,2023-09-27 22:22,2023-09-17 13:16,2023-09-15 22:12,2023-09-15 22:22,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Skirt,XS-M (21-28 inches)",290,290,1,290
230915E6602VEK,Completed,SPEPH032661486739,Standard Local-SPX Express,pickup,2023-09-27 22:44,2023-09-20 16:55,2023-09-15 22:34,2023-09-15 22:44,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Blue Skirt,XS-M (21-28 inches)",290,290,1,290
230916EC354CA8,Completed,SPEPH031074742129,Standard Local-SPX Express,pickup,2023-09-19 00:30,2023-09-17 13:16,2023-09-16 00:20,2023-09-16 00:30,ZARA KNITTED TUBE TOP,"Cream,FREESIZE (S-L)",69,69,1,69
230916EC354CA8,Completed,SPEPH031074742129,Standard Local-SPX Express,pickup,2023-09-19 00:30,2023-09-17 13:16,2023-09-16 00:20,2023-09-16 00:30,ZARA KNITTED TUBE TOP,"Royal blue,FREESIZE (S-L)",69,69,1,69
230916F65BC5FM,Completed,SPEPH034433481529,Standard Local-SPX Express,pickup,2023-09-28 08:16,2023-09-17 13:16,2023-09-16 08:06,2023-09-16 08:16,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Shorts,L-XL (29-34 inches)",290,290,1,290
230916F9QA8E8A,Completed,SPEPH039118311439,Standard Local-SPX Express,pickup,2023-09-28 09:10,2023-09-26 15:11,2023-09-16 09:10,2023-09-16 09:10,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Skirt,XS-M (21-28 inches)",290,290,1,290
230916FA1YM9CG,Completed,SPEPH032773513419,Standard Local-SPX Express,pickup,2023-09-28 09:17,2023-09-17 13:16,2023-09-16 09:16,2023-09-16 09:17,ZARA KNITTED TUBE TOP,"Black,FREESIZE (S-L)",69,69,1,69
230916FA1YM9CG,Completed,SPEPH032773513419,Standard Local-SPX Express,pickup,2023-09-28 09:17,2023-09-17 13:16,2023-09-16 09:16,2023-09-16 09:17,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Black&White Skirt,L-XL (29-34 inches)",290,290,1,290
230916FDM1C09H,Completed,SPEPH038519127699,Standard Local-SPX Express,pickup,2023-09-28 10:30,2023-09-26 15:11,2023-09-16 10:20,2023-09-16 10:30,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Skirt,XS-M (21-28 inches)",290,290,1,290
230916FF03T1XG,Completed,SPEPH031200510609,Standard Local-SPX Express,pickup,2023-09-25 10:55,2023-09-17 13:16,2023-09-16 10:45,2023-09-16 10:55,TWEED COORDS/DRESS CHECKOUT (5 sets),,20,20,1,20
230916FHJX2WTH,Completed,SPEPH039363225209,Standard Local-SPX Express,pickup,2023-09-28 11:41,2023-09-17 13:16,2023-09-16 11:31,2023-09-16 11:41,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black Skirt,XS-M (21-28 inches)",290,290,1,290
