Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity,Product Subtotal,Order Complete Time
240502AE9Y0YAP,Completed,SPEPH043638506205,Standard Local-SPX Express,pickup,2024-05-10 22:32,2024-05-06 12:37,2024-05-02 22:22,2024-05-02 22:32,PLAIN MIDI SKIRT 22-30 INCHES (WITH & WITHOUT SLIT),"BLACK,NO SLIT",149,149,1,149,2024-05-24 22:48
240503BFXGGJQQ,Completed,SPEPH042498175625,Standard Local-SPX Express,pickup,2024-05-27 08:34,2024-05-04 13:08,2024-05-03 08:24,2024-05-03 08:34,FREEBIES FOR BUYERS ONLY (2),,5,5,1,5,2024-05-05 15:19
240503BQ5KBGN3,Completed,788761432481,Standard Local-J&T Express,pickup,2024-05-27 10:34,2024-05-04 13:17,2024-05-03 10:34,2024-05-03 10:34,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-09 08:17
240503BW5JY1QY,Completed,SPEPH044322165835,Standard Local-SPX Express,pickup,2024-05-27 12:31,2024-05-04 13:08,2024-05-03 12:21,2024-05-03 12:31,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-09 20:16
240503C8N4JU3J,Completed,SPEPH047124394005,Standard Local-SPX Express,pickup,2024-05-27 15:56,2024-05-04 13:08,2024-05-03 15:46,2024-05-03 15:56,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-13 10:39
240503CA93RNMS,Completed,788760999477,Standard Local-J&T Express,pickup,2024-05-27 16:16,2024-05-04 13:17,2024-05-03 16:16,2024-05-03 16:16,FREEBIES FOR BUYERS ONLY (2),,5,5,1,5,2024-05-09 10:45
240503CACYQGQE,Completed,788749488833,Standard Local-J&T Express,pickup,2024-05-27 16:28,2024-05-04 13:17,2024-05-03 16:18,2024-05-03 16:28,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-12 09:08
240503CGDBQN5Y,Completed,788754267438,Standard Local-J&T Express,pickup,2024-05-27 18:15,2024-05-04 13:17,2024-05-03 18:05,2024-05-03 18:15,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-08 12:33
240503CMAF95VG,Completed,788758982414,Standard Local-J&T Express,pickup,2024-05-27 19:25,2024-05-04 13:17,2024-05-03 19:15,2024-05-03 19:25,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-08 18:01
240503CQRTPYXQ,Completed,788764916533,Standard Local-J&T Express,pickup,2024-05-27 20:27,2024-05-06 12:21,2024-05-03 20:17,2024-05-03 20:27,ASSORTED TOPS LINK FOR BUYERS,,10,10,1,10,2024-05-13 10:39
