Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity
230701S3DNAG47,Completed,SPEPH036189684977,Standard Local-SPX Express,pickup,2023-07-13 06:27,2023-07-01 14:30,2023-07-01 06:17,2023-07-01 06:27,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Beige Skirt,S-M",290,290,1
230701S7PJFF9X,Completed,SPEPH038370819497,Standard Local-SPX Express,pickup,2023-07-13 07:44,2023-07-06 12:51,2023-07-01 07:34,2023-07-01 07:44,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,L-XL",290,290,1
230701S8UH1TM0,Completed,SPEPH031976211517,Standard Local-SPX Express,pickup,2023-07-13 08:05,2023-07-13 18:21,2023-07-01 07:55,2023-07-01 08:05,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Beige Skirt,s-M",290,290,1
230701SF996F7K,Completed,786660784515,Standard Local-J&T Express,pickup,2023-07-13 09:51,2023-07-01 13:48,2023-07-01 09:50,2023-07-01 09:51,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Beige Skirt,S-M",290,290,1
230701SG18WT3H,Completed,SPEPH035182690027,Standard Local-SPX Express,pickup,2023-07-13 10:03,2023-07-06 12:53,2023-07-01 10:03,2023-07-01 10:03,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Skirt,L-XL",290,290,1
230701SG18WT3H,Completed,SPEPH035182690027,Standard Local-SPX Express,pickup,2023-07-13 10:03,2023-07-06 12:53,2023-07-01 10:03,2023-07-01 10:03,ZARA KNITTED MIDI SKIRT (WITH & WITHOUT SLIT),"Grey,WITH SLIT",149,149,1
230701SG4W9MKT,Completed,SPEPH038605999337,Standard Local-SPX Express,pickup,2023-07-04 10:15,2023-07-01 14:30,2023-07-01 10:05,2023-07-01 10:15,ZARA STRAPPY TOP KNITTED,"Moss brown,FREESIZE (S-L)",69,69,1
230701SG4W9MKT,Completed,SPEPH038605999337,Standard Local-SPX Express,pickup,2023-07-04 10:15,2023-07-01 14:30,2023-07-01 10:05,2023-07-01 10:15,DITSY RUFFLES MINI SKIRT,Black,119,119,1
230701SHVA4YP3,Completed,SPEPH033839645577,Standard Local-SPX Express,pickup,2023-07-10 10:46,2023-07-01 14:30,2023-07-01 10:36,2023-07-01 10:46,10 PCS ZARA STRAPPY BUNDLE (RANDOM COLORS/FREESIZE),,400,400,1
230701SMRTB2JJ,Completed,SPEPH037216415367,Standard Local-SPX Express,pickup,2023-07-13 11:38,2023-07-01 14:30,2023-07-01 11:28,2023-07-01 11:38,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"White Shorts,L-XL",290,290,1
230701SP0KFS22,Completed,SPEPH039462655347,Standard Local-SPX Express,pickup,2023-07-13 12:00,2023-07-01 14:30,2023-07-01 11:50,2023-07-01 12:00,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"White/Black Short,L-XL",290,290,1
230701SRC7WN3J,Completed,SPEPH031767529617,Standard Local-SPX Express,pickup,2023-07-13 12:42,2023-07-13 18:20,2023-07-01 12:32,2023-07-01 12:42,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Skirt,L-XL",290,290,1
230701SUWREV62,Completed,SPEPH038528813757,Standard Local-SPX Express,pickup,2023-07-13 13:36,2023-07-13 18:21,2023-07-01 13:36,2023-07-01 13:36,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Beige Skirt,s-M",290,290,1
230701SVQTW5SJ,Completed,SPEPH039852661217,Standard Local-SPX Express,pickup,2023-07-13 14:00,2023-07-06 12:53,2023-07-01 13:50,2023-07-01 14:00,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Skirt,L-XL",290,290,1
230701T0XYTQSY,Completed,SPEPH033506236597,Standard Local-SPX Express,pickup,2023-07-13 15:16,2023-07-06 12:52,2023-07-01 15:06,2023-07-01 15:16,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,L-XL",290,290,1
230701T31DKK7Y,Completed,SPEPH035203640717,Standard Local-SPX Express,pickup,2023-07-13 15:44,2023-07-06 12:51,2023-07-01 15:43,2023-07-01 15:44,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Skirt,s-M",290,290,1
230701T5V7E2WX,Completed,SPEPH031758237067,Standard Local-SPX Express,pickup,2023-07-13 16:44,2023-07-06 12:50,2023-07-01 16:34,2023-07-01 16:44,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Black&White Short,L-XL",290,290,1
230701THSPF2FG,Completed,SPEPH036642464247,Standard Local-SPX Express,pickup,2023-07-13 20:17,2023-07-05 13:48,2023-07-01 20:07,2023-07-01 20:17,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"White Shorts,s-M",290,290,1
230701TKBHXWRG,Completed,SPEPH032310151047,Standard Local-SPX Express,pickup,2023-07-13 20:45,2023-07-06 12:52,2023-07-01 20:35,2023-07-01 20:45,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,s-M",290,290,1
230701TTV5X9GD,Completed,SPEPH031066851137,Standard Local-SPX Express,pickup,2023-07-13 23:00,2023-07-06 12:51,2023-07-01 22:50,2023-07-01 23:00,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Skirt,s-M",290,290,1
230701TV221T4J,Completed,786675696557,Standard Local-J&T Express,pickup,2023-07-13 23:21,2023-07-04 13:33,2023-07-01 23:11,2023-07-01 23:21,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Khaki Skirt,L-XL",290,290,1
230702U33WY6DW,Completed,SPEPH030036250897,Standard Local-SPX Express,pickup,2023-07-13 01:27,2023-07-06 12:53,2023-07-02 01:17,2023-07-02 01:27,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Skirt,L-XL",290,290,1
230702U5J1H9VH,Completed,SPEPH032643920777,Standard Local-SPX Express,pickup,2023-07-13 02:11,2023-07-05 13:48,2023-07-02 02:01,2023-07-02 02:11,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Beige Skirt,L-XL",290,290,1
230702UU8C9D04,Completed,786735665379,Standard Local-J&T Express,pickup,2023-07-13 08:30,2023-07-13 14:24,2023-07-02 08:29,2023-07-02 08:30,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Shorts,s-M",290,290,1
230702UXKBVRJ8,Completed,786682751330,Standard Local-J&T Express,pickup,2023-07-13 09:39,2023-07-06 13:50,2023-07-02 09:29,2023-07-02 09:39,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO) - NEW COLORS,"Pink Short,L-XL",290,290,1
230702V6VV5WJP,Completed,SPEPH038618921607,Standard Local-SPX Express,pickup,2023-07-13 12:08,2023-07-06 12:52,2023-07-02 11:58,2023-07-02 12:08,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Beige Shorts,s-M",290,290,1
230702VBMMAKGD,Completed,786740169729,Standard Local-J&T Express,pickup,2023-07-13 13:32,2023-07-14 15:20,2023-07-02 13:22,2023-07-02 13:32,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Beige Skirt,s-M",290,290,1
230702VD7PXQCB,Completed,SPEPH034622708017,Standard Local-SPX Express,pickup,2023-07-13 13:53,2023-07-13 18:21,2023-07-02 13:51,2023-07-02 13:53,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black Skirt,L-XL",290,290,1
230702VDQ21C5Q,Completed,786675683672,Standard Local-J&T Express,pickup,2023-07-13 14:10,2023-07-04 13:33,2023-07-02 14:00,2023-07-02 14:10,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Blue Shorts,L-XL",290,290,1
230702VEWAK5U8,Completed,SPEPH032556188397,Standard Local-SPX Express,pickup,2023-07-13 14:31,2023-07-13 18:21,2023-07-02 14:21,2023-07-02 14:31,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Beige Shorts,L-XL",290,290,1
230702VK9KJ60E,Completed,786740372000,Standard Local-J&T Express,pickup,2023-07-13 15:49,2023-07-14 15:20,2023-07-02 15:39,2023-07-02 15:49,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Skirt,L-XL",290,290,1
230702VYM2BRYR,Completed,786740379224,Standard Local-J&T Express,pickup,2023-07-13 19:30,2023-07-14 15:20,2023-07-02 19:20,2023-07-02 19:30,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Beige Shorts,L-XL",290,290,1
23070200E0EP00,Completed,SPEPH036989250887,Standard Local-SPX Express,pickup,2023-07-13 20:44,2023-07-11 13:44,2023-07-02 20:34,2023-07-02 20:44,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Blue Shorts,s-M",290,290,1
23070202DHQBV5,Completed,SPEPH036528661727,Standard Local-SPX Express,pickup,2023-07-13 21:10,2023-07-06 12:52,2023-07-02 21:10,2023-07-02 21:10,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,s-M",290,290,1
23070202S2SM72,Completed,SPEPH030607812577,Standard Local-SPX Express,pickup,2023-07-13 21:26,2023-07-05 13:48,2023-07-02 21:16,2023-07-02 21:26,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Blue Shorts(New),L-XL",290,290,1
23070203GFE72S,Completed,SPEPH033502785457,Standard Local-SPX Express,pickup,2023-07-13 21:29,2023-07-06 12:50,2023-07-02 21:29,2023-07-02 21:29,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,L-XL",290,290,1
23070203GFE72S,Completed,SPEPH033502785457,Standard Local-SPX Express,pickup,2023-07-13 21:29,2023-07-06 12:50,2023-07-02 21:29,2023-07-02 21:29,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Skirt,L-XL",290,290,1
23070204D024GV,Completed,SPEPH037185238847,Standard Local-SPX Express,pickup,2023-07-13 21:55,2023-07-06 12:52,2023-07-02 21:45,2023-07-02 21:55,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Shorts,s-M",290,290,1
23070209GA6V0X,Completed,SPEPH033661270687,Standard Local-SPX Express,pickup,2023-07-13 23:26,2023-07-06 12:50,2023-07-02 23:16,2023-07-02 23:26,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Skirt,s-M",290,290,1
2307030FQ46NYS,Completed,SPEPH038985140197,Standard Local-SPX Express,pickup,2023-07-14 01:08,2023-07-06 12:52,2023-07-03 01:08,2023-07-03 01:08,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black&White Skirt,s-M",290,290,1
2307030GA2P4N2,Completed,SPEPH033629777677,Standard Local-SPX Express,pickup,2023-07-14 01:28,2023-07-13 18:21,2023-07-03 01:18,2023-07-03 01:28,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Black Skirt,L-XL",290,290,1
